suburb,postcode,local_density_score,neighbor_density_score,latitude,longitude
PETERBOROUGH,3270,40,176.25,-38.602117,142.870164
PIANGIL,3597,12,20,-34.965359,143.189786
PICOLA WEST,3639,1593,78.25,-36.021295,145.047253
PIGEON PONDS,3407,224.5,236.8333333,-37.298061,141.948371
PINE MOUNTAIN,3709,30,32.125,-36.01189247,147.8327575
PINES FOREST,3200,84,88.79113924,-38.126458,145.157574
PINEWOOD,3149,55,81.63658537,-37.880748,145.128118
PLENTY,3090,207,79.62849162,-37.668408,145.107802
PLUMPTON,3037,33.5,91.06306306,-37.715579,144.780474
POINT WILSON,3212,220,114.1911765,-38.039958,144.422666
POLISBET,3585,8.5,6.666666667,-35.27926115,143.1473395
POOTILLA,3352,367,188.1333333,-37.482132,143.662387
POOWONG,3988,7,43.76315789,-38.313447,145.811863
POREPUNKAH,3740,30,26.78571429,-36.731686,146.834561
PORT FRANKLIN,3964,102,11.68181818,-38.685115,146.278804
PORT MELBOURNE,3207,41.5,83.97326203,-37.832179,144.918044
PORT WELSHPOOL,3965,10,29.83333333,-38.693437,146.472132
PORTARLINGTON,3223,63.5,91.89130435,-38.147989,144.668477
PORTLAND NORTH,3305,360,127.5,-38.235475,141.437227
PORTSEA,3944,19,75.68181818,-38.321871,144.692708
POUND CREEK,3996,80,49.71428571,-38.629561,145.745609
POWELLTOWN,3797,31,99.03125,-37.867809,145.786343
PRANJIP,3665,20,176.6538462,-36.844091,145.357627
PRESTON LOWER,3072,14,83.78535354,-37.74247,145.005702
PRINCES HILL,3054,17,84.93112245,-37.786971,144.96724
PRINCETOWN,3269,323,229.2857143,-38.660637,143.177116
PUCKAPUNYAL,3662,47,38.15,-36.9356483,144.9486555
PUCKAPUNYAL MILPO,3662,8,50.375,-36.939204,144.960214
PURA PURA,3271,156,73,-37.888549,142.98753
PURALKA,3311,85.5,0,-37.468159,141.229722
PURDEET,3289,318,282.2857143,-37.893196,142.227754
PURNIM,3278,24,49.8125,-38.278013,142.624719
PURNIM WEST,3278,1,56.22222222,-38.29668931,142.554533
PYALONG,3521,9.5,33.125,-37.090071,144.912693
RAVENSWOOD SOUTH,3453,130,51.96153846,-36.950365,144.281488
RED CLIFFS,3496,76.5,25.91666667,-34.307094,142.187995
RED HILL SOUTH,3937,29,66.18965517,-38.373694,145.01994
RED LION,3371,21,61.61111111,-37.1766686,143.7666842
REEDY FLAT,3895,8,66.33333333,-37.40606605,147.916566
RESEARCH,3095,116,83.55778894,-37.713299,145.158579
RESERVOIR,3073,46.5,85.27435897,-37.712474,145.005955
REYNARD,3858,2,32.88888889,-37.35595129,146.6252375
RHYLL,3923,39,55.225,-38.465552,145.293632
RIACHELLA,3385,8,12.30555556,-36.904185,142.647565
RICHMOND NORTH,3121,1.5,84.50738916,-37.823303,145.001788
RIDDELLS CREEK,3431,137.5,108.0428571,-37.474551,144.69202
RINGWOOD,3134,68.5,82.86666667,-37.796091,145.232557
ROBINSON,3019,11.5,85.72571429,-37.784683,144.854014
ROBINVALE IRRIGATION DISTRICT SECTION B,3549,55,22.375,-34.612077,142.789595
ROBINVALE IRRIGATION DISTRICT SECTION C,3549,25.5,157.1,-34.626246,142.730687
ROBINVALE IRRIGATION DISTRICT SECTION E,3549,8.5,34,-34.664554,142.759585
ROCKLANDS,3401,79.5,386.5,-37.2749188,142.0507182
ROKEWOOD,3330,1344.5,392.4583333,-37.918437,143.758576
ROSEBERY,3395,10,3,-35.83347402,142.4214713
ROSEBUD PLAZA,3939,91.5,49.23809524,-38.42776,144.900413
ROSEBUD WEST,3940,72,58.63043478,-38.383367,144.873115
ROSES GAP,3385,6,13.85714286,-36.97419597,142.4561838
ROWVILLE,3178,123.5,82.29190751,-37.924431,145.241589
ROXBURGH PARK,3064,407,90.90625,-37.546522,144.942199
ROYAL MELBOURNE HOSPITAL,3050,6,86.03076923,-37.7989153,144.95617
RUFFY,3666,597,160.7777778,-36.786777,145.565512
RUNNYMEDE,3558,2,29.27272727,-36.54452949,144.6702395
RUPANYUP,3388,4,8.192307692,-36.597861,142.693946
RYANS,3875,20,33.65,-37.55196002,147.63201
SAFETY BEACH,3936,115.5,67.625,-38.326447,145.007626
SAINT HELENA,3088,82,80.56282723,-37.700175,145.108339
SALE,3850,15.5,37.96666667,-38.224191,147.106181
SALE NORTH,3850,14,56.16666667,-38.224191,147.106181
SANDHURST,3977,92,91.12135922,-38.08209438,145.2086871
SANDON,3462,25,48.82142857,-37.083561,144.053611
SANDOWN VILLAGE,3171,34.5,79.3125,-37.944608,145.156783
SANDRINGHAM,3191,119,74.73728814,-37.956585,145.013472
SANDY CREEK,3695,13.5,25.45,-36.304285,147.123674
SARGOOD,3858,6,16,-37.58636148,146.7389535
SASSAFRAS GULLY,3787,65,94.27822581,-37.866786,145.350888
SCORESBY,3179,69.5,79.94414894,-37.897137,145.222634
SCORESBY BC,3176,22.5,81.99444444,-37.8992,145.23
SCOTTS CREEK,3267,327.5,167.75,-38.466647,143.06073
SEAFORD,3198,109.5,82.7,-38.103194,145.137811
SEDDON,3011,39.5,88.45263158,-37.807101,144.907953
SELWYN,3737,24,177,-37.06713454,146.9999008
SEPARATION CREEK,3221,30,85.11538462,-38.181608,144.427419
SEYMOUR,3660,192,39.875,-37.035925,145.257867
SHAYS FLAT,3377,68,81.13636364,-37.06683249,143.0871367
SHELBOURNE,3463,17.5,61.86363636,-36.957983,144.05651
SHEPPARTON,3630,40,125.875,-36.380853,145.403176
SHERBROOKE,3789,173,94.79338843,-37.889767,145.357336
SHOREHAM,3916,48.5,63.0862069,-38.415199,145.050587
SILVAN,3795,101,107.8310811,-37.836663,145.430311
SKYE,3977,204.5,97.13291139,-38.135253,145.268888
SMITHS BEACH,3922,115.5,57.06521739,-38.482182,145.231974
SMITHS GULLY,3760,36,113.0263158,-37.6269998,145.288344
SMOKEYTOWN,3364,15,140.4210526,-37.40001075,143.9221405
SNAKE ISLAND,3971,32,19,-38.74476124,146.5237607
SOMERS,3927,12.5,72.61290323,-38.383368,145.153269
SOMERTON,3062,392.5,83.20394737,-37.632986,144.932557
SOMERVILLE,3912,57.5,94.45833333,-38.217991,145.227373
SORRENTO,3943,31.5,69.75,-38.345527,144.739101
SOUTH DUDLEY,3995,103.5,52.79166667,-38.578071,145.630713
SOUTH KINGSVILLE,3015,52.5,81.44692737,-37.838242,144.880556
SOUTH MELBOURNE DC,3205,8,84.21025641,-37.831693,144.958176
SOUTH MORANG,3752,444,79.32692308,-37.619102,145.074353
SOUTH WHARF,3006,1.5,83.60309278,-37.82528675,144.9520744
SOUTHBANK,3006,17,83.43333333,-37.823258,144.965926
SOUTHLAND CENTRE,3192,5.5,76.00273224,-37.965655,145.0623
SPRINGFIELD,3434,44.5,79.16666667,-37.35388,144.750796
SPRINGVALE SOUTH,3172,104.5,75.70348837,-37.975981,145.13465
ST ALBANS,3021,64.5,86.72903226,-37.743361,144.796693
ST ANDREWS,3761,4,122.27,-37.585625,145.292381
ST HELENA,3088,50.5,80.21390374,-37.68949912,145.1294801
ST HELENS PLAINS,3400,31.5,13.85,-36.725245,142.203729
ST KILDA ROAD,8004,86,110.3571429,-36.5587997,145.4689942
ST KILDA ROAD CENTRAL,3004,7.5,83.64467005,-37.844246,144.970161
ST KILDA ROAD MELBOURNE,3004,336,81.8040201,-37.8368,144.976
ST KILDA SOUTH,3182,28,83.26530612,-37.865322,144.979478
STAFFORDSHIRE REEF,3351,707,410.2692308,-37.758248,143.637463
STANHOPE SOUTH,3623,24,49.47368421,-36.461381,144.976813
STAUGHTON VALE,3221,82,197,-38.181608,144.427419
STEWARTON,3725,42.5,100.875,-36.414359,145.937326
STIRLING,3893,45.5,28,-37.495349,147.866067
STONEHAVEN,3218,34,125.4,-38.1220442,144.223441
STONY CREEK,3371,23.5,23.53125,-37.196938,143.635622
STRADBROKE PARK,3103,4,84.86084906,-37.8007,145.062
STRATHALLAN,3622,37.5,46.42307692,-36.231961,144.87573
STRATHTULLOH,3338,96.5,107.7213115,-37.73398997,144.5969094
STUART MILL,3477,30,8.083333333,-36.688551,143.230699
SUGARLOAF,3221,28,83.5,-38.181608,144.427419
SUGARLOAF CREEK,3658,42,33.19230769,-37.12839823,145.0277018
SUMNER,3057,52,84.7625,-37.772232,144.98034
SUNDAY CREEK,3658,30,38.7,-37.241401,145.111854
SUNNYCLIFFS,3496,34,33,-34.286644,142.186246
SUNSHINE NORTH,3020,160,84.52760736,-37.777204,144.829945
SUNSHINE WEST,3020,88,81.32424242,-37.79809941,144.8110787
SURREY HILLS NORTH,3127,82.5,83.41981132,-37.825173,145.097236
SUTHERLANDS CREEK,3331,367.5,140.0555556,-38.049195,144.194625
SUTTON,3530,2,3,-35.73285433,142.9735632
SWAN BAY,3225,182,85.29166667,-38.271074,144.614191
SWAN REACH,3903,6,38.40909091,-37.811303,147.867533
SWIFTS CREEK,3896,35,31.16666667,-37.264671,147.707962
TABILK,3607,50.5,97.03846154,-36.839707,145.179762
TAGGERTY,3714,57.5,49.25,-37.210538,145.687889
TALLANDOON,3701,12,13.3,-36.40132656,147.2207049
TALLANGATTA SOUTH,3701,6,19.08333333,-36.32413828,147.2815733
TALLAROOK,3659,10,43.77272727,-37.110344,145.07088
TALLYGAROOPNA,3634,98,108.0833333,-36.224186,145.440315
TARADALE,3447,25,53.38461538,-37.157744,144.322487
TARIPTA,3620,41.5,70.53571429,-36.284584,145.082735
TAROON,3265,138,213.5,-38.178237,142.952372
TARRANYURK,3414,37,16,-36.388628,142.093883
TARRINGTON,3301,40,78.36363636,-38.118855,142.034141
TARWIN LOWER,3956,4,32.66666667,-38.77338675,145.9119412
TAWONGA,3697,31,55.78571429,-36.68753,147.17925
TAWONGA SOUTH,3698,35.5,101.3333333,-36.722034,147.149468
TEDDYWADDY,3525,20,23.78571429,-36.2835,143.364316
TEDDYWADDY WEST,3525,16,23.85714286,-36.2835,143.364316
TEESDALE,3328,413,151.6428571,-38.018664,144.043058
TELOPEA DOWNS,3420,64,27,-36.41273,141.017332
TEMPLESTOWE,3106,143,84.9589372,-37.758335,145.142675
TEMPLESTOWE LOWER,3107,43.5,85.09004739,-37.765225,145.110677
TEMPY,3489,4,9,-35.332477,142.425302
TENNYSON,3572,24,22.7,-36.266642,144.257135
TERANG,3264,115,111,-38.232443,142.884394
TERRICK TERRICK EAST,3573,22,30.375,-36.164865,144.297958
THALLOO,3825,12,47.34615385,-38.08561743,146.3086546
THE BASIN,3154,76,92.09810127,-37.856009,145.31784
THE FINGERBOARD,3864,187.5,59.45,-37.860878,147.341513
THE PATCH,3792,271,104.1067961,-37.89424,145.405388
THE SETTLEMENT,3561,53.5,32.78571429,-36.321109,144.709543
THOMASTOWN,3074,68,83.75543478,-37.684684,145.006644
THOMSON,3219,29.5,104.1774194,-38.17277,144.389533
THOONA,3726,18,94.3,-36.332254,145.960209
THORNBURY,3071,17.5,84.58415842,-37.759426,145.007006
THORNHILL PARK,3335,36,103.3055556,-37.73029166,144.624896
THORNTON,3712,14,30.16666667,-37.3209,145.839057
THORPDALE,3835,8,36.56666667,-38.290637,146.175271
THORPDALE SOUTH,3824,8,42.34210526,-38.245649,146.16397
TINTALDRA,3708,40.5,21.7,-36.070928,147.942058
TITTYBONG,3542,4,6.9375,-35.75270861,143.363426
TITYBONG,3542,6,4,-35.700788,143.406398
TOM GROGGIN,3707,6,22,-36.59561902,148.0805746
TOOAN,3401,15,55.125,-36.881534,141.940832
TOOBORAC,3522,4,33.54545455,-37.050037,144.747197
TOOLAMBA,3614,151,81.03125,-36.479193,145.30098
TOOLAMBA WEST,3614,67,85.28125,-36.48360219,145.2688853
TOOMBON,3825,37.5,39.25,-37.72124292,146.4393424
TOONGABBIE,3856,55,59.45454545,-38.063907,146.672206
TOORAK,3142,26,82.47317073,-37.84411,145.017732
TOORONGA,3146,49,84.36619718,-37.857116,145.057833
TOOTGAROOK,3941,92,55.375,-38.396077,144.827203
TORQUAY,3228,238,79.68,-38.307545,144.299978
TORRITA,3490,279,212.5,-34.911674,142.206711
TORRUMBARRY,3562,33.5,39.08333333,-36.062544,144.46276
TORWOOD,3821,6,31.4,-38.25783442,145.8742873
TOWANINNY SOUTH,3527,4,26.25,-36.07096,143.241334
TOWONG UPPER,3707,12,28.25,-36.586316,148.037958
TREMONT,3785,106.5,88.77070064,-37.885138,145.316734
TRESCO,3583,4,25.7,-35.509635,143.66458
TRESCO WEST,3584,13,21.58333333,-35.431026,143.637617
TRUGANINA,3029,291.5,77.29464286,-37.837165,144.705831
TUERONG,3915,29,81.14102564,-38.305806,145.136622
TULKARA,3384,6,20.53846154,-36.94387585,143.0484349
TURRIFF,3488,2,4,-35.47089941,142.4522756
TYABB,3913,79,82.825,-38.262273,145.166426
TYNONG NORTH,3813,37,111.7413793,-38.064252,145.634339
TYRRELL,3533,12,4.125,-35.384557,142.839304
ULLINA,3364,78,50.5,-37.334655,143.907186
ULTIMA EAST,3544,4,7.8125,-35.43230862,143.3741381
ULUPNA,3641,136.5,43.83333333,-35.89718,145.428306
UNIVERSITY OF MELBOURNE,3010,13.5,85.08717949,-37.796152,144.961351
UPOTIPOTPON,3669,13.5,111.0416667,-36.49668169,145.8003272
UPPER LURG,3673,120,94.35714286,-36.669929,146.062514
UPTON HILL,3664,232.5,174.7,-36.89547953,145.4034627
UPWEY,3158,180,90.82608696,-37.910077,145.324468
VAUGHAN,3451,42.5,48.85714286,-37.125338,144.21419
VERMONT,3133,202.5,81.485,-37.848786,145.192303
VINIFERA,3591,9,9.1,-35.202209,143.394092
VITE VITE NORTH,3325,104,189.6666667,-37.877452,143.185911
W TREE,3885,111.5,8,-37.291807,148.118511
WAAIA,3637,15.5,79.33333333,-36.050686,145.329026
WAGGARANDALL,3646,115.5,77.70833333,-36.24491655,145.7669016
WAHGUNYAH,3687,70,53.57142857,-36.018771,146.415927
WAIL,3401,24,17.125,-36.52995528,142.0867071
WAL WAL,3381,4,6.666666667,-36.988914,142.7154
WALHALLA EAST,3825,44,63.77272727,-37.9325509,146.5807798
WALKERVILLE NORTH,3956,14,25.5,-38.84261489,145.9993437
WALLALOO,3381,4,5.607142857,-36.988914,142.7154
WALLALOO EAST,3381,6,3.892857143,-36.988914,142.7154
WALLINGTON,3221,37.5,86.03571429,-38.181608,144.427419
WALPEUP,3507,16,4,-35.120596,142.035659
WANDILIGONG,3744,43,22.33333333,-36.788479,146.95979
WANDO BRIDGE,3312,58,294.1666667,-37.43928729,141.4238728
WANDONG,3758,10,117.2580645,-37.354647,145.052552
WANDOWN,3549,12,34.6,-34.82232378,142.9427595
WANGARATTA,3676,91.5,61.375,-36.341245,146.338612
WANGIE,3530,4,4,-35.691824,143.2608071
WANTIRNA,3152,139.5,80.125,-37.864951,145.221695
WARANGA,3612,31,71.86111111,-36.575936,145.019312
WARANGA SHORES,3612,12,75.20588235,-36.54807055,145.0911963
WARNEET,3980,95.5,93.64444444,-38.204448,145.356937
WARRABKOOK,3286,145.5,223.1428571,-37.98614494,142.0716061
WARRAGUL SOUTH,3821,32.5,53.77272727,-37.919937,145.945214
WARRANDYTE,3113,233.5,81.17447917,-37.752123,145.204689
WARRNAMBOOL WEST,3280,69,33.14285714,-38.37884,142.482889
WARTOOK,3400,15,18.66666667,-36.725245,142.203729
WATCHEM,3482,42,23.1,-36.17028,142.766588
WATERGARDENS,3038,94,93.23076923,-37.700454,144.766873
WATSONIA,3087,193,81.33673469,-37.711787,145.082426
WATTLE GLEN,3096,77.5,83.86196319,-37.670851,145.185826
WEERING,3251,135,177.4545455,-38.155186,143.648479
WEERITE,3260,207,200,-38.209584,143.244766
WEIR VIEWS,3338,99,120.4795918,-37.72870467,144.5683367
WENDOUREE VILLAGE,3355,156,217.6764706,-37.530285,143.82561
WERRIBEE SOUTH,3030,324,78.0546875,-37.91624,144.64209
WERRIMULL,3496,4,0,-34.386949,141.388479
WEST MELBOURNE,3003,1,86.65306122,-37.810871,144.949592
WESTMEADOWS,3049,122,85.91411043,-37.673182,144.888492
WHANREGARWEN,3714,4,59.35714286,-37.2189348,145.6196525
WHITFIELD,3733,17,24.5,-36.812087,146.316338
WHOROULY EAST,3735,67.5,35.05555556,-36.515712,146.603574
WILDWOOD,3429,509.5,99.67567568,-37.56762,144.728973
WILLIAMS LANDING,3027,167,69.29435484,-37.86199812,144.7430155
WILLIAMS RAAF,3027,129.5,64.38655462,-37.932419,144.754147
WILLIAMSTOWN NORTH,3016,69,81.25561798,-37.863743,144.888461
WILLUNG SOUTH,3844,36,43.65,-38.316869,146.607101
WILSONS HILL,3515,31.5,56.16666667,-36.729444,144.062915
WINDSOR,3181,53,82.77638191,-37.854683,144.995504
WINJALLOK,3380,32.5,14.25,-37.0666,142.771159
WINNAMBOOL,3546,4,6.25,-35.060163,142.850456
WINTER VALLEY,3358,194.5,356.5294118,-37.58012926,143.7928013
WIRRATE,3608,102,61.03846154,-36.740713,145.095753
WODONGA,3689,73.5,83.76111111,-37.67576,144.989793
WODONGA PLAZA,3690,33.5,44.22222222,-36.135717,146.864361
WOLLERT,3750,157,84.76623377,-37.596078,145.005578
WOMBELANO,3401,112,173.8,-36.881534,141.940832
WONGA PARK,3115,123,84.64912281,-37.736734,145.267586
WONGARRA,3221,6,85.7,-38.181608,144.427419
WONGUNGARRA,3862,16,92.375,-37.25564455,147.0451171
WONNANGATTA,3737,2,39.5,-37.13823976,146.8156764
WOOD WOOD,3596,4,9,-35.123806,143.327682
WOODFIELD,3715,352,193.6875,-36.985747,145.739419
WOODSTOCK,3751,68,95.24519231,-37.554655,145.052904
WOOLENOOK,3860,18,97.5,-37.69783613,147.0446286
WOOLSTHORPE,3276,32,39,-38.180923,142.409105
WOOMELANG,3485,2,10.375,-35.711533,142.671962
WOOREEN,3953,21.5,21.0625,-38.40506851,146.0204631
WOORINEN,3589,2,9.928571429,-35.228436,143.441248
WOORINEN SOUTH,3588,17.5,7.714285714,-35.29429,143.470325
WOORNDOO,3272,42,110.875,-37.982186,142.853634
WORROWING,3858,2,22.6875,-37.66889173,146.7419767
WRATHUNG,3860,2,7.125,-37.59554693,146.9492264
WROXHAM,3891,50,63.5,-37.567684,149.538907
WURDIBOLUC,3241,129,127.9230769,-38.20363,143.892824
WYE RIVER,3221,51,83.5,-38.181608,144.427419
WYELANGTA,3237,71,172,-38.716838,143.474392
YAAPEET,3424,22,22,-35.727789,141.930872
YACKANDANDAH,3749,19.5,37.125,-36.357399,146.842075
YALLA-Y-POORA,3378,252,370.25,-37.528792,142.985403
YALLOOK,3571,26,26,-36.36819,144.206865
YAN YEAN,3755,99,107.3141026,-37.563905,145.142035
YANAKIE,3960,34,0,-39.140761,146.360412
YANGOURA,3858,2,53.66666667,-37.82195914,146.5677589
YARRA GLEN,3775,216.5,118.9166667,-37.642852,145.365993
YARRABERB,3516,28,33.375,-36.607616,144.041722
YARRAGON,3823,6,26.44117647,-38.210382,146.065656
YARRAMBAT,3091,142.5,82.77672956,-37.637478,145.136688
YARRAVILLE WEST,3013,26,86.14673913,-37.814183,144.888686
YELLINGBO,3139,354.5,118.5789474,-37.814506,145.532666
YIELIMA,3638,112.5,359.6,-36.03202,145.246572
YORK PLAINS,3477,24,13.78571429,-36.58743626,142.9166939
YOUANMITE,3646,113.5,88.58333333,-36.247446,145.704042
YUROKE,3063,114.5,92.59663866,-37.595015,144.856082
